BLJLDCAACX,58,40,37,68,36,12,40,52,30,29,80,69,54,90,60,74,66,35,10,60,91,3,47,51,82,52,46,2,37,39,41,95,45,22,67,92,80,82,64,49,1,95,43,3,81,21,60,59,53,18,1,85,64,74,98,100,58,49,83,38,57,3,64,38,96,13,68,87,9,30,93,96,32,30,86,18,37,34,50,78,21,78,72,72,56,60,75,46,55,95,94,10,39,12,26,77,44,38,26,8,26,74,45,9,33,71,1,44,23,0,56,81,82,60,77,100,30,0,60,84,68,95,37,68,29,62,0,97,2,8,56,97,93,1,66,95,37,86,9,2,69,29,51,0,64,1,66,52,67,17,15,45,72,39,96,44,45,85,48,70,35,45,44,37,85,91,81,3,66,45,4,31,45,94,52,58,17,86,67,89,70,8,67,89,39,67,15,45,82,98,48,99,27,74,44,78,60,100,44,54,100,39,2,96,99,18,16,95,72,58,49,35,88,22,11,91,73,28,67,53,69,80,73,51,58,87,17,45,48,96,3,78,76,88,12,52,98,51,34,3,69,95,94,15,15,77,52,90,4,37,74,23,86,31,49,5,57,60,37,5,49,48,57,54,72,96,33,58,81,76,1,42,95,42,56,79,16,36,99,12,48,75,33,41,80,41,20,60,19,57,99,46,71,35,68,7,1,45,88,64,28,24,17,3,71,55,94,49,35,77,86,56,72,33,57,75,29,0,96,11,38,33,95,17,45,8,84,93,94,94,13,34,41,32,13,87,53,72,57,12,78,94,85,91,83,63,16,38,4,14,47,12,79,15,8,17,62,4,54,72,85,99,87,62,7,12,18,59,27,93,34,45,57,23,3,15,3,44,62,47,74,3,72,79,46,31,11,51,35,33,86,1,41,67,27,22,29,2,50,64,76,64,96,26,53,15,5,44,80,82,39,42,2,49,19,43,0,85,76,47,67,79,13,93,93,88,16,67,77,86,7,5,97,17,15,36,15,11,40,85,71,69,90,79,36,89,56,24,80,10,70,58,82,64,37,20,4,60,34,42,80,89,92,15,65,47,12,93,9,13,64,0,78,97,87,78,93,46,72,45,14,2,30,74,68,9,32,15,46,61,25,7,46,51,98,80,66,73,30,69,25443
MZFUANCSCY,11,83,16,14,69,49,96,37,95,74,76,49,62,35,42,76,50,3,36,85,26,52,42,77,70,96,14,17,21,70,7,69,13,35,27,100,35,84,89,19,29,4,12,55,91,41,8,72,48,7,34,77,40,55,40,18,26,80,90,10,86,35,14,79,1,45,8,38,90,98,62,97,9,12,20,67,75,94,42,92,7,57,65,57,42,94,84,3,100,44,21,1,14,91,35,63,90,63,79,52,71,45,61,85,98,4,26,92,78,53,17,79,78,30,47,21,20,87,66,10,74,19,26,9,69,85,22,97,33,93,47,38,11,70,84,36,29,11,59,59,55,85,71,45,53,4,17,64,24,4,12,25,53,13,1,86,50,50,90,60,7,29,76,68,89,71,42,77,95,50,45,38,92,3,52,15,10,61,56,42,12,81,88,19,99,7,2,56,27,32,28,83,6,73,56,49,19,25,98,36,41,43,27,8,34,35,13,16,77,26,98,3,10,63,77,69,33,96,73,52,62,75,77,70,2,52,86,80,2,80,92,56,92,85,52,8,82,18,57,99,54,98,43,45,81,72,33,18,21,14,36,39,98,61,24,26,85,64,50,92,69,88,62,68,63,40,44,79,51,5,68,14,77,29,33,45,89,69,48,72,17,68,4,0,51,85,56,55,69,38,33,99,48,87,54,12,7,69,78,17,0,79,74,95,45,57,54,52,23,37,38,36,38,98,13,22,60,33,59,95,40,35,9,73,9,4,13,2,0,23,97,74,88,5,40,48,49,11,38,37,30,96,84,40,64,14,69,44,55,31,61,19,30,94,67,46,83,77,15,32,38,12,57,22,0,48,33,42,64,85,78,35,33,11,64,36,31,67,33,60,93,98,99,30,25,70,5,43,49,45,76,21,1,13,72,4,84,12,42,88,66,7,63,23,28,10,55,44,3,73,60,83,53,69,17,65,97,17,66,59,34,93,36,4,25,39,20,52,44,36,54,66,17,100,74,28,96,63,32,74,90,41,74,8,19,31,96,83,61,53,80,91,37,68,3,44,13,67,73,72,96,90,8,59,35,4,96,16,27,24,61,98,9,55,90,8,21,73,58,57,77,58,97,51,59,81,100,60,94,45,53,75,69,67,52,87,68,22,60,70,24986
BVABYLXQSF,89,27,52,77,94,59,46,50,13,38,29,64,61,14,94,97,50,90,70,74,51,86,58,47,13,78,13,33,43,53,75,64,93,29,8,85,94,25,17,91,34,11,18,21,23,79,60,82,71,1,14,65,84,77,85,4,82,21,92,84,48,47,97,76,64,18,16,57,76,28,82,43,18,23,17,66,98,50,82,21,26,98,8,64,74,79,59,71,42,11,44,27,38,99,78,42,17,16,55,19,25,100,64,51,6,44,52,41,99,74,57,63,9,95,5,88,80,18,51,19,5,29,54,92,84,23,27,75,28,12,59,22,59,90,27,44,21,69,39,84,48,9,21,41,56,90,39,90,93,84,7,5,83,32,56,37,65,61,65,2,43,40,72,85,2,65,7,20,28,80,47,23,11,22,56,31,36,47,52,36,33,46,99,3,90,73,37,62,100,10,16,100,83,54,72,26,81,89,19,36,4,65,99,46,70,69,1,92,71,8,66,77,83,13,76,52,26,0,94,27,82,62,50,64,21,34,66,44,56,6,44,75,57,60,66,61,97,3,45,47,73,100,100,68,63,65,3,28,31,3,85,53,2,73,52,53,12,84,85,19,93,2,16,83,66,68,1,63,27,57,57,54,15,95,4,62,38,16,21,72,39,42,75,19,81,27,67,23,32,35,22,12,0,23,22,81,7,80,33,59,1,39,5,29,29,39,60,65,94,57,48,52,39,87,30,86,56,13,37,29,3,68,40,18,92,25,46,74,12,73,1,58,50,71,39,21,55,78,25,72,22,72,67,87,63,15,60,34,12,100,1,3,0,24,70,17,51,17,84,80,33,66,83,35,21,51,16,59,81,13,95,9,7,29,58,40,81,4,72,10,85,13,53,3,83,39,15,23,8,44,44,12,90,44,97,36,66,51,14,22,95,47,29,67,5,87,100,62,97,70,17,88,19,21,33,1,80,94,11,55,77,68,19,0,4,45,43,4,41,40,27,50,6,99,29,97,27,84,99,17,57,8,51,58,46,47,18,66,35,56,15,78,40,58,25,50,78,11,9,5,31,26,56,58,85,7,13,25,20,23,59,14,65,23,37,14,17,28,34,63,22,8,10,92,9,51,85,69,45,67,39,6,56,27,80,99,35,95,10,77,23811
CLMTYBUKPC,81,82,1,22,92,54,83,18,84,91,18,72,76,62,48,11,82,88,18,52,47,6,25,90,40,83,72,94,44,58,37,10,59,62,43,28,98,37,12,13,16,39,9,3,22,51,35,35,93,8,69,99,67,93,18,38,64,7,53,1,100,99,38,90,41,68,98,90,28,73,72,43,20,49,12,9,91,19,38,21,89,66,84,93,43,69,24,3,90,96,10,21,81,61,87,69,18,67,57,42,30,18,45,84,4,78,83,99,29,50,61,60,3,23,59,38,66,54,48,59,95,67,22,0,32,26,39,96,64,17,35,90,92,89,3,98,80,26,49,40,82,61,20,3,75,8,46,92,1,58,77,11,36,77,79,72,59,78,33,58,0,13,43,25,97,28,49,69,20,7,77,19,30,91,2,64,93,47,50,42,39,97,3,61,74,37,69,85,63,82,21,72,48,23,50,29,36,62,28,42,22,31,19,51,59,96,1,27,51,50,53,99,70,53,43,80,69,45,42,46,61,47,38,42,37,87,9,31,87,45,42,75,42,63,20,26,61,30,69,75,82,39,30,83,25,26,88,3,72,11,7,41,54,76,33,53,3,17,79,42,20,12,74,34,43,67,7,90,91,0,7,15,0,29,87,74,80,44,4,77,44,37,67,30,64,95,61,81,88,97,67,69,98,70,96,83,19,88,82,55,60,79,13,13,27,31,34,70,100,70,93,11,47,91,81,39,76,79,77,49,0,25,9,34,1,8,4,10,39,11,38,85,11,56,37,95,99,96,8,46,75,10,60,35,25,67,19,55,95,9,2,90,16,2,92,1,41,7,25,20,22,35,2,40,40,38,6,14,90,98,34,77,20,84,86,13,86,92,84,39,90,100,12,60,21,74,71,70,91,23,41,95,36,83,86,80,88,98,100,21,37,37,58,2,85,7,65,24,22,31,69,54,88,73,99,30,1,0,62,94,67,49,9,74,46,81,14,56,7,50,27,4,27,37,11,11,54,51,37,60,10,90,100,38,56,97,47,28,60,72,43,48,56,42,1,55,78,41,18,51,34,51,87,14,98,48,39,59,61,28,76,22,27,83,19,87,8,53,51,59,39,60,28,49,43,22,89,51,41,65,46,79,11,41,93,49,60,34,43,94,24970
NPVPVDGFWU,67,92,20,97,1,66,95,53,74,93,31,52,83,18,61,54,88,89,18,44,11,22,5,60,77,53,95,30,33,64,70,2,59,50,74,38,83,82,58,10,98,57,16,49,16,49,55,33,3,43,4,54,16,74,16,76,2,38,96,51,91,42,61,19,52,33,57,88,92,94,99,77,62,2,14,43,50,51,97,43,62,64,91,30,7,7,12,57,78,53,2,36,93,20,64,38,24,17,44,2,37,82,38,44,81,36,40,82,10,10,94,17,97,26,91,17,64,6,55,68,13,79,74,76,5,84,8,94,61,18,44,36,24,18,7,12,18,99,75,83,60,57,79,51,92,27,20,86,46,50,92,71,79,63,42,87,49,59,34,69,47,49,69,5,91,6,97,63,11,38,59,66,96,9,81,41,21,45,54,74,23,16,51,1,90,37,15,92,95,44,46,95,53,8,59,58,83,31,8,85,40,46,95,29,94,3,89,47,26,77,68,43,68,93,85,43,67,46,33,0,95,42,79,46,37,23,17,59,33,74,9,73,32,50,49,75,14,100,77,82,71,8,21,79,50,83,97,45,89,16,56,33,27,94,76,41,25,55,49,100,41,15,33,82,17,34,32,12,6,46,67,4,24,37,97,51,28,25,81,26,46,60,89,22,76,100,32,1,26,52,86,20,83,79,1,1,86,20,12,99,77,76,93,51,43,62,78,37,58,59,67,36,78,35,2,36,61,29,64,96,95,42,49,73,16,96,57,69,18,85,42,6,43,21,79,30,25,74,22,6,22,48,12,28,22,40,46,9,69,59,90,87,66,81,99,4,96,60,69,69,26,73,81,57,33,81,57,63,98,2,3,80,20,72,24,97,57,14,33,2,74,32,84,84,48,1,95,0,95,37,14,47,21,49,43,18,93,54,31,73,90,52,66,48,20,30,28,35,67,48,34,77,44,98,16,75,9,59,58,52,56,97,65,38,94,18,9,39,47,25,60,16,81,28,39,79,82,44,64,59,7,17,89,56,62,87,8,54,26,38,12,99,75,4,27,20,43,4,19,24,48,90,15,55,1,19,95,2,82,57,79,74,1,44,23,50,100,61,37,8,18,82,82,19,63,27,78,35,83,25,83,10,70,48,47,21,49,57,61,19,25019
SXKEDNVIYT,55,35,87,60,26,42,55,6,58,31,97,93,40,64,88,7,75,41,12,91,36,95,63,74,62,15,64,76,42,26,69,15,65,47,51,97,27,11,37,96,85,69,41,43,38,36,41,3,38,49,55,91,99,16,74,79,20,5,70,8,15,93,73,85,58,45,82,76,17,56,2,43,94,85,41,56,72,44,26,59,45,28,41,85,95,61,13,87,2,99,9,10,66,92,42,75,75,23,97,92,61,11,70,3,34,19,45,61,42,65,68,29,22,97,35,21,97,42,83,35,70,1,18,5,36,76,84,22,87,69,94,37,5,52,31,11,73,64,89,91,51,27,27,62,36,54,99,18,36,10,4,57,93,23,20,33,96,1,2,64,8,82,63,96,85,61,91,8,94,1,26,4,6,58,21,13,40,26,1,99,46,65,70,72,27,72,42,76,47,62,69,75,67,27,54,98,76,95,29,45,82,84,77,55,89,25,45,7,1,92,49,19,84,86,45,20,66,60,66,51,79,8,30,8,54,43,70,98,84,11,66,71,52,65,90,13,7,59,78,63,86,72,0,65,11,88,31,6,17,16,15,36,0,68,33,7,3,28,38,88,72,89,24,8,63,23,0,100,66,74,43,3,56,79,10,0,14,59,44,9,40,94,48,77,86,56,53,97,54,40,5,96,68,68,52,3,3,11,12,57,14,47,71,63,0,8,93,2,11,72,100,2,71,44,94,59,31,5,76,94,83,28,41,67,84,60,13,14,22,88,81,18,36,23,36,73,38,61,37,28,26,57,34,34,2,71,41,74,53,85,67,10,25,63,27,71,15,54,70,77,2,8,2,47,15,92,53,38,91,15,48,92,24,36,12,39,53,97,16,38,29,70,22,16,17,9,69,51,67,23,25,78,14,56,65,95,100,12,51,5,32,77,50,86,6,50,39,70,69,34,25,41,67,24,40,20,92,84,77,6,29,25,92,22,49,43,16,37,16,30,42,79,29,16,41,9,26,84,72,50,57,39,46,81,73,71,86,93,25,11,59,25,46,40,75,28,62,100,34,70,62,55,61,27,70,60,37,52,91,53,70,15,17,41,5,76,76,81,34,49,35,73,19,1,86,90,53,97,4,42,86,18,74,62,33,79,29,58,66,41,24462
GJYWRELFWU,55,85,64,39,5,2,20,37,67,9,28,26,72,45,60,19,22,63,26,53,30,98,38,89,83,75,73,98,5,46,25,67,77,20,39,8,80,40,3,33,43,97,100,29,87,82,2,34,100,26,17,75,70,95,19,66,31,84,41,50,43,94,33,84,93,96,10,68,65,82,83,81,81,29,45,57,60,26,17,18,16,67,100,98,55,85,5,81,70,59,0,6,27,80,35,41,55,22,10,73,17,42,27,53,93,47,97,58,64,99,19,90,43,38,67,19,10,96,47,100,46,36,39,31,60,59,52,0,77,49,12,81,94,93,77,60,0,23,35,14,93,90,46,39,86,15,83,17,87,44,5,33,37,62,92,66,74,85,82,84,83,73,99,57,39,11,3,35,21,70,66,36,62,12,20,47,37,4,74,91,51,80,6,75,89,28,25,9,68,27,91,32,31,36,86,6,82,7,91,87,96,23,41,85,0,41,53,33,51,85,98,32,90,80,65,37,78,66,16,66,86,22,92,97,10,86,8,69,37,5,62,70,87,54,34,75,97,53,96,85,84,85,54,43,31,99,53,93,22,37,62,49,85,45,47,59,49,73,12,100,33,99,66,83,97,22,51,73,22,48,35,43,73,78,16,7,41,45,79,13,20,16,45,62,57,21,100,1,0,82,100,33,97,38,58,74,58,92,77,94,91,37,5,15,39,42,31,90,44,28,12,33,2,57,93,33,93,44,48,98,23,43,78,55,4,79,43,90,35,27,91,83,64,67,22,8,53,85,36,69,70,86,30,56,33,93,19,61,53,64,19,32,50,10,11,76,16,1,44,76,46,62,18,93,45,45,59,26,71,86,24,77,43,22,27,53,6,40,58,6,50,75,50,37,92,0,11,89,69,11,96,78,19,12,36,48,15,62,87,42,90,97,52,73,74,41,68,35,39,89,66,59,93,84,31,24,47,43,58,91,59,47,32,76,45,7,81,67,27,21,65,4,24,86,34,94,57,84,23,2,37,52,84,1,60,37,26,59,90,81,78,51,76,52,18,30,38,78,10,92,32,62,100,44,39,85,49,17,10,0,8,20,80,64,5,44,41,66,81,10,24,17,67,72,98,72,78,22,42,45,3,41,86,9,99,47,76,88,36,33,25972
VZAOEKYHWS,30,78,27,52,86,100,29,15,76,75,6,67,41,7,28,97,90,72,79,99,71,83,95,33,66,49,84,48,45,70,88,67,43,37,49,48,81,48,46,51,33,43,83,27,17,48,37,80,40,84,39,5,32,32,77,37,13,71,57,28,37,85,94,79,72,21,31,39,3,48,11,15,2,92,75,60,81,2,53,28,53,14,52,68,42,26,83,49,4,33,66,7,94,63,63,74,59,22,78,23,98,5,82,35,61,68,88,96,6,44,29,34,52,31,77,29,31,14,98,2,45,30,59,54,18,46,48,71,79,97,14,45,35,1,21,11,74,7,79,74,99,13,79,60,72,22,25,11,30,58,53,3,36,30,57,32,66,85,54,27,55,11,77,47,51,11,35,59,94,31,49,26,100,2,30,52,31,17,26,19,42,76,33,32,64,9,20,97,63,77,2,29,33,68,17,52,63,82,79,47,17,70,18,81,29,84,78,13,68,4,26,44,71,46,11,24,7,80,17,99,22,87,12,10,60,38,48,94,6,17,14,29,68,44,23,25,66,80,76,9,22,29,4,45,37,70,62,57,26,56,32,66,1,12,46,99,31,71,74,0,55,0,90,13,15,85,73,58,85,91,23,3,62,24,13,46,97,62,91,9,12,8,62,43,84,16,97,56,56,77,39,94,84,22,59,28,48,7,79,59,78,98,78,63,28,89,87,60,59,46,60,37,93,25,59,15,13,56,12,4,80,72,72,54,44,82,7,35,62,41,97,46,78,72,90,42,14,58,88,63,82,43,91,32,52,84,47,74,7,52,30,80,62,93,2,64,91,64,79,82,70,61,80,75,26,73,40,74,99,72,47,81,72,88,95,68,97,97,41,5,47,47,96,83,59,30,46,51,17,28,55,30,16,92,5,71,66,7,22,26,82,48,89,48,19,94,93,64,13,44,52,23,81,92,33,86,40,42,77,62,95,93,96,10,67,4,58,61,74,44,57,87,60,29,77,49,74,83,30,51,30,32,54,16,15,98,92,18,90,44,23,50,63,60,34,73,84,38,56,96,66,79,80,0,88,88,14,74,81,22,11,25,57,11,19,78,2,94,17,88,3,5,57,84,92,84,62,69,83,47,68,78,61,85,4,2,63,13,89,64,25605
BVBLFPIEXO,22,65,15,31,91,77,51,12,15,16,62,6,83,72,93,68,75,90,97,24,88,91,92,83,15,11,54,20,47,93,17,31,21,23,27,43,29,54,85,72,64,72,98,62,9,31,33,65,73,90,33,61,57,72,14,65,31,55,60,4,13,35,9,24,52,56,22,82,33,11,53,32,23,26,30,90,84,56,44,58,10,26,66,48,81,83,30,88,8,35,34,97,83,32,71,91,60,73,91,82,71,46,90,82,99,89,41,40,86,38,50,43,47,62,9,70,87,24,17,88,46,5,84,65,67,49,25,61,90,84,74,59,72,59,18,14,10,8,24,99,86,96,17,94,96,88,75,55,23,80,76,69,0,84,40,1,33,3,2,18,4,34,7,45,64,44,51,5,34,85,55,33,43,45,87,57,86,90,55,97,55,18,6,22,93,97,94,17,56,61,82,92,49,37,54,62,53,60,97,6,88,34,11,43,52,12,76,84,15,40,7,87,47,31,36,6,7,8,95,50,43,42,58,89,57,43,94,47,55,39,75,19,86,35,41,14,83,51,34,30,61,40,25,82,71,65,21,37,99,63,57,42,95,69,92,20,77,20,66,9,44,39,48,83,94,10,17,66,38,6,80,18,79,24,58,18,88,24,59,84,45,96,52,63,61,24,35,68,40,83,59,48,39,35,96,76,1,71,65,81,55,14,82,15,55,80,59,72,46,25,1,55,87,4,9,23,47,32,84,89,84,56,41,53,27,35,53,80,49,89,8,49,21,73,59,58,72,44,62,11,98,37,16,11,52,61,80,91,3,66,87,41,62,93,6,97,77,80,54,43,17,77,11,87,37,67,51,43,95,50,30,58,16,90,22,18,72,96,44,16,89,76,5,48,94,27,50,47,41,10,92,36,18,49,45,98,34,14,56,57,12,45,56,91,6,22,5,61,0,57,63,7,78,61,37,13,64,65,33,84,90,24,1,98,17,62,5,94,8,13,82,13,40,61,28,89,53,15,80,83,32,42,4,40,73,87,21,20,10,66,13,77,58,76,49,31,85,94,84,29,56,55,36,22,18,10,71,17,57,61,19,80,73,17,63,40,86,25,34,62,95,73,42,58,73,96,92,84,50,68,50,93,41,40,60,26,38,22,23,79,25590
CQSLBAVNZL,97,26,49,0,56,25,81,21,38,21,49,36,23,1,99,81,20,76,27,62,27,12,22,53,6,56,1,90,47,13,47,9,58,78,34,29,46,81,88,26,27,75,18,56,5,69,58,58,10,29,83,74,86,46,96,95,83,59,12,46,97,90,79,48,70,47,28,2,78,85,99,39,13,78,42,47,88,93,65,46,23,63,57,24,86,33,85,39,36,24,55,95,88,33,89,9,56,7,12,69,49,61,13,43,54,91,46,56,63,21,48,79,89,82,45,74,54,48,7,88,29,91,10,60,29,44,55,81,63,79,65,15,9,44,92,35,54,76,64,88,52,59,0,65,44,32,23,37,70,62,37,10,9,21,83,98,38,54,36,86,75,91,81,60,28,79,5,13,6,54,95,88,38,38,63,42,85,33,51,68,14,78,54,55,5,51,10,28,45,24,72,73,63,81,39,60,53,89,64,77,20,2,84,15,9,67,85,38,32,62,35,66,24,79,47,59,33,59,94,36,11,50,32,42,23,48,74,39,9,11,56,78,21,94,61,21,85,7,30,50,36,39,100,14,2,23,38,85,26,92,14,85,64,75,41,16,87,83,76,60,43,88,30,38,67,84,32,15,96,84,70,79,1,27,78,77,88,66,59,55,5,71,72,63,77,76,33,94,97,26,90,60,28,7,89,22,94,84,20,66,4,43,99,63,66,46,2,12,57,99,73,5,71,79,25,40,69,77,87,49,92,70,59,43,79,60,57,13,42,38,60,85,51,6,87,0,79,55,32,82,93,63,11,8,28,97,32,48,31,27,57,23,91,90,61,28,22,25,58,31,65,61,78,64,53,4,42,56,50,30,10,16,54,79,23,74,5,57,6,2,46,44,38,62,100,98,62,62,6,95,41,16,74,31,78,89,25,92,84,74,38,59,12,55,67,42,27,98,100,53,28,70,29,81,64,44,26,3,60,82,44,76,9,55,86,32,13,34,88,64,22,42,73,62,91,17,81,41,40,36,81,13,0,13,93,13,69,100,78,9,77,7,71,95,52,41,93,8,53,25,47,87,51,80,55,43,66,99,100,33,50,58,23,93,61,48,49,12,7,34,9,69,68,45,14,26,70,42,10,30,13,34,32,79,41,90,52,6,28,76,25537
